| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|   1040|  0|   33|  54638|AL   |
|   1041|  0|   32|  20940|AL   |
|   1041|  0|   32|  20940|AL   |
|   1041|  0|   32|  20940|AL   |
|   1042|  0|   36|  71723|AL   |
|   1042|  0|   36|  71723|AL   |
|   1042|  0|   36|  71723|AL   |
|   1043|  0|   33|  41462|AL   |
|   1043|  0|   33|  41462|AL   |
|   1043|  0|   33|  41462|AL   |
|   1044|  0|   14|  10538|AL   |
|   1044|  0|   14|  10538|AL   |
|   1044|  0|   14|  10538|AL   |
|   1045|  0|   18|  17701|AL   |
|   1045|  0|   18|  17701|AL   |
|   1045|  0|   18|  17701|AL   |
|   1046|  0|   83| 183111|AL   |
|   1046|  0|   83| 183111|AL   |
|   1046|  0|   83| 183111|AL   |
|   1047|  0|   32|  14745|AL   |
|   1047|  0|   32|  14745|AL   |
|   1047|  0|   32|  14745|AL   |
|   1048|  0|   22|  20307|AL   |
|   1048|  0|   22|  20307|AL   |
|   1048|  0|   22|  20307|AL   |
|   1049|  0|   50|  47112|AL   |
|   1049|  0|   50|  47112|AL   |
|   1049|  0|   50|  47112|AL   |
|   1050|  0|   90| 243346|AL   |
|   1050|  0|   90| 243346|AL   |
|   1050|  0|   90| 243346|AL   |
|   1051|  0|   14|  15638|AL   |
|   1051|  0|   14|  15638|AL   |
|   1051|  0|   14|  15638|AL   |
|   1052|  0|   59| 129375|AL   |
|   1052|  0|   59| 129375|AL   |
|   1052|  0|   59| 129375|AL   |
|   1053|  0|   47|  84310|AL   |
|   1053|  0|   47|  84310|AL   |
|   1053|  0|   47|  84310|AL   |
|   1054|  0|   18|   9355|AL   |
|   1054|  0|   18|   9355|AL   |
|   1054|  0|   18|   9355|AL   |
|   1055|  0|   27|  13740|AL   |
|   1055|  0|   27|  13740|AL   |
|   1055|  0|   27|  13740|AL   |
|   1056|  0|   28|  17422|AL   |
|   1056|  0|   28|  17422|AL   |
|   1056|  0|   28|  17422|AL   |
|   1057|  0|   47|  15380|AL   |
|   1057|  0|   47|  15380|AL   |
|   1057|  0|   47|  15380|AL   |
|   1058|  0|   19|  29916|AL   |
|   1058|  0|   19|  29916|AL   |
|   1058|  0|   19|  29916|AL   |
|   1059|  0|   36|  61953|AL   |
|   1059|  0|   36|  61953|AL   |
|   1059|  0|   36|  61953|AL   |
|   1061|  0|   65| 130000|AL   |
|   1061|  0|   65| 130000|AL   |
|   1061|  0|   65| 130000|AL   |
|   1062|  0|   21|  10443|AL   |
|   1062|  0|   21|  10443|AL   |
|   1062|  0|   21|  10443|AL   |
|   1063|  0|   37|  48264|AL   |
|   1063|  0|   37|  48264|AL   |
|   1063|  0|   37|  48264|AL   |
|   1064|  0|   29|  27160|AL   |
|   1064|  0|   29|  27160|AL   |
|   1064|  0|   29|  27160|AL   |
|   1065|  0|   53|  86586|AL   |
|   1065|  0|   53|  86586|AL   |
|   1065|  0|   53|  86586|AL   |
|   1066|  0|   45|  43523|AL   |
|   1066|  0|   45|  43523|AL   |
|   1066|  0|   45|  43523|AL   |
|   1067|  0|   26|  13401|AL   |
|   1067|  0|   26|  13401|AL   |
|   1067|  0|   26|  13401|AL   |
|   1068|  0|   29|   9968|AL   |
|   1068|  0|   29|   9968|AL   |
|   1068|  0|   29|   9968|AL   |
|   1069|  0|   23|  16004|AL   |
|   1069|  0|   23|  16004|AL   |
|   1069|  0|   23|  16004|AL   |
|   2001|  0|  439| 469042|AK   |
|   2001|  0|  439| 469042|AK   |
|   2001|  0|  439| 469042|AK   |
|   3001|  0|   45|  47000|AZ   |
|   3001|  0|   45|  47000|AZ   |
|   3001|  0|   45|  47000|AZ   |
|   3001|  0|   45|  47000|AZ   |
|   3002|  0|   64|  65000|AZ   |
|   3002|  0|   64|  65000|AZ   |
|   3002|  0|   64|  65000|AZ   |
|   3002|  0|   64|  65000|AZ   |
|   3003|  0|   83|  85000|AZ   |
|   3003|  0|   83|  85000|AZ   |
|   3003|  0|   83|  85000|AZ   |
|   3003|  0|   83|  85000|AZ   |
|   3004|  0|   40|  35000|AZ   |
|   3004|  0|   40|  35000|AZ   |
|   3004|  0|   40|  35000|AZ   |
|   3004|  0|   40|  35000|AZ   |
|   3005|  0|   18|  19000|AZ   |
|   3005|  0|   18|  19000|AZ   |
|   3005|  0|   18|  19000|AZ   |
|   3005|  0|   18|  19000|AZ   |
|   3006|  0|8|   5500|AZ   |
|   3006|  0|8|   5500|AZ   |
|   3006|  0|8|   5500|AZ   |
|   3006|  0|8|   5500|AZ   |
|   3007|  0|   12|   9020|AZ   |
|   3007|  0|   12|   9020|AZ   |
|   3007|  0|   12|   9020|AZ   |
|   3007|  0|   12|   9020|AZ   |
|   3008|  0| 1058|1730500|AZ   |
|   3008|  0| 1058|1730500|AZ   |
