| polra_number|pol_first_name  |pol_middle_name |pol_last_name   |pol_abbrv   |pol_junior|polra_party|ra_number  |pol_nat_id |polra_in_order|pol_number |st_postal|
|   17522|Jeff||Taylor  |Taylor  |  |GOP|   5707|  58749| 2|  10766|CA   |
|   17560|Jackie  ||Conaway |Conaway |  |Dem|   5715|  58756| 1|  10774|CA   |
|   17564|Russ||Warner  |Warner  |  |Dem|   5716|  58757| 1|  10776|CA   |
|   18066|Herb||Peters  |Peters  |  |Lib|   5726|112| 3|  10789|CA   |
|   17601|Laura   ||Richardson  |Richrdsn|  |Dem|   5727|   8265| 1|  10793|CA   |
|   17409|Christina   ||Avalos  |Avalos  |  |Dem|   5730|119| 1|  10796|CA   |
|   18362|||Yes |Yes |  |   |  11417|  2| 1|  10808|FL   |
|   18363|||No  |No  |  |   |  11417|  3| 2|  10809|FL   |
|   17609|Bill||Hedrick |Hedrick |  |Dem|   5734|  58779| 1|  10810|CA   |
|   18078|Lars||Grossmith   |Grssmth |  |Lib|   5742|   7247| 4|  10825|CA   |
|   17623|Brian   ||Bilbray |Bilbray |  |GOP|   5742|   6540| 2|  10828|CA   |
|   18080|Michael ||Benoit  |Benoit  |  |Lib|   7296|156| 3|  10839|CA   |
|   17629|Michael ||Crimmins|Crimmns |  |GOP|   5744|  58813| 2|  10842|CA   |
|   18008|Marsha  ||Feinland|Feinland|  |PFP|   8516|   7042| 3|  10849|CA   |
|   17450|Corrine ||Brown   |Brown   |  |Dem|  10011|   1242| 2|  10897|FL   |
|   18042|Gerald  ||Frink   |Frink   |  |PFP|   5695|  60830| 3|  10900|CA   |
|   17465|Cliff   ||Stearns |Stearns |  |GOP|  10017|854| 1|  10904|FL   |
|   17466|John||Mica|Mica|  |GOP|  10019|856| 1|  10906|FL   |
|   17478|Gus ||Bilirakis   |Bilirakis   |  |GOP|  10023|  52981| 1|  10908|FL   |
|   17480|Bill||Young   |Young   |  |GOP|  10025|   1245| 1|  10909|FL   |
|   17517|Ileana  ||Ros-Lehtinen|RosLhtn |  |GOP|  10041|867| 1|  10933|FL   |
|   17529|Alcee   ||Hastings|Hastings|  |Dem|  10398|874| 2|  10943|FL   |
|   17980|John||Lewis   |Lewis   |  |Dem|  11015|833| 2|  11011|GA   |
|   18130|Johnny  ||Isakson |Isakson |  |GOP|  11003|835| 1|  11034|GA   |
|   17397|Allen   ||Boyd|Boyd|Jr.   |Dem|  10009|   1241| 2|  11052|FL   |
|   17613|Ken ||Arnold  |Arnold  |  |Dem|   5736|  60881| 1|  11057|CA   |
|   17500|Bill||Posey   |Posey   |  |GOP|  10035|  53077| 1|  11085|FL   |
|   17977|Sanford ||Bishop  |Bishop  |  |Dem|  11009|   1253| 2|  11099|GA   |
|   17475|Daniel  ||Webster |Webster |  |GOP|  10021|  53062| 1|  11105|FL   |
|   18142|Nick||Dibs|Dibs|  |Ind|   5727|  59826| 3|  11130|CA   |
|   18196|Lynn||Westmoreland|Wstmrln |  |GOP|  11011|  13348| 1|  11135|GA   |
