| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|   3015|   3920|   42|  58410|AZ   |
|  1|   3924|  352| 372343|AZ   |
|   3002|   3924|   64|  62446|AZ   |
|   3011|   3924|  281| 303359|AZ   |
|   3012|   3924|2|   6509|AZ   |
|   3013|   3924|5|   2748|AZ   |
|  1|   4153| 2239|2750496|AZ   |
|   3001|   4153|   45|  33688|AZ   |
|   3002|   4153|   64|  62446|AZ   |
|   3003|   4153|   85|  60829|AZ   |
|   3004|   4153|   39|  25886|AZ   |
|   3005|   4153|   18|  14642|AZ   |
|   3006|   4153|8|   3495|AZ   |
|   3007|   4153|   12|   7040|AZ   |
|   3008|   4153| 1142|1596012|AZ   |
|   3009|   4153|   73|  91165|AZ   |
|   3010|   4153|   70|  47190|AZ   |
|   3011|   4153|  417| 436519|AZ   |
|   3012|   4153|   88| 134250|AZ   |
|   3013|   4153|   24|  17691|AZ   |
|   3014|   4153|  112| 109496|AZ   |
|   3015|   4153|   42|  58410|AZ   |
|  1|   4154| 2239|2750496|AZ   |
|   3001|   4154|   45|  33688|AZ   |
|   3002|   4154|   64|  62446|AZ   |
|   3003|   4154|   85|  60829|AZ   |
|   3004|   4154|   39|  25886|AZ   |
|   3005|   4154|   18|  14642|AZ   |
|   3006|   4154|8|   3495|AZ   |
|   3007|   4154|   12|   7040|AZ   |
|   3008|   4154| 1142|1596012|AZ   |
|   3009|   4154|   73|  91165|AZ   |
|   3010|   4154|   70|  47190|AZ   |
|   3011|   4154|  417| 436519|AZ   |
|   3012|   4154|   88| 134250|AZ   |
|   3013|   4154|   24|  17691|AZ   |
|   3014|   4154|  112| 109496|AZ   |
|   3015|   4154|   42|  58410|AZ   |
|  1|   4155| 2239|2750496|AZ   |
|   3001|   4155|   45|  33688|AZ   |
|   3002|   4155|   64|  62446|AZ   |
|   3003|   4155|   85|  60829|AZ   |
|   3004|   4155|   39|  25886|AZ   |
|   3005|   4155|   18|  14642|AZ   |
|   3006|   4155|8|   3495|AZ   |
|   3007|   4155|   12|   7040|AZ   |
|   3008|   4155| 1142|1596012|AZ   |
|   3009|   4155|   73|  91165|AZ   |
|   3010|   4155|   70|  47190|AZ   |
|   3011|   4155|  417| 436519|AZ   |
|   3012|   4155|   88| 134250|AZ   |
|   3013|   4155|   24|  17691|AZ   |
|   3014|   4155|  112| 109496|AZ   |
|   3015|   4155|   42|  58410|AZ   |
|  1|   4159| 2239|2750496|AZ   |
|   3001|   4159|   45|  33688|AZ   |
|   3002|   4159|   64|  62446|AZ   |
|   3003|   4159|   85|  60829|AZ   |
|   3004|   4159|   39|  25886|AZ   |
|   3005|   4159|   18|  14642|AZ   |
